def_name,def_pos,off_name,off_pos,route,ipa,comp_prob,result,epa
Malcolm Jenkins,SS,Julio Jones,WR,HITCH,-5.019485950469971,0.8931950330734253,C,-0.26182727217867396
Jordan Hicks,MLB,Calvin Ridley,WR,HITCH,1.5828192234039307,0.8725217580795288,I,0.372359818040743
Sidney Jones,CB,Devonta Freeman,RB,SCREEN,1.4933526515960693,0.922699511051178,I,0.7027786582424911
Ronald Darby,CB,Julio Jones,WR,CORNER,-29.73315119743347,0.5167624354362488,C,-3.0475299950065295
Nate Gerry,LB,Devonta Freeman,RB,OUT,0.8929133415222168,0.6636359691619873,I,0.8422718726519459
Robert Alford,CB,Nelson Agholor,WR,OUT,17.851781845092773,0.6982671022415161,C,0.344096467462392
Ricardo Allen,SS,Darren Sproles,RB,OUT,50.59584677219391,0.35496142506599426,I,1.19220828463531
Ronald Darby,CB,Mohamed Sanu,WR,HITCH,7.690304517745972,0.4984249472618103,I,0.429862558722865
Jordan Hicks,MLB,Tevin Coleman,RB,FLAT,-0.6417155265808105,0.9295475482940674,C,-1.87980397791624
Nate Gerry,LB,Austin Hooper,TE,FLAT,5.254518985748291,0.7992530465126038,C,-0.0456650977161344
Ronald Darby,CB,Julio Jones,WR,HITCH,-25.222009420394897,0.6382112503051758,I,0.36097561914221293
Ronald Darby,CB,Austin Hooper,TE,IN,36.561450362205505,0.37262162566185,I,0.8746402588464101
Robert Alford,CB,Nelson Agholor,WR,IN,-0.10902881622314453,0.8325382471084595,C,-0.895417100238688
Ronald Darby,CB,Julio Jones,WR,POST,45.11483013629913,0.30555668473243713,I,0.5515130593728821
Corey Graham,FS,Devonta Freeman,RB,FLAT,-3.651154041290283,0.9790542125701904,C,1.9124825231952398
De'Vondre Campbell,OLB,Nelson Agholor,WR,CROSS,-3.035414218902588,0.9176141023635864,C,0.436367552621316
Robert Alford,CB,Nelson Agholor,WR,HITCH,58.10794532299042,0.26798924803733826,C,-2.04406323813351
Robert Alford,CB,Nelson Agholor,WR,IN,53.67625802755356,0.20349587500095367,C,0.0109423280840701
Brian Poole,CB,DeAndre Carter,WR,OUT,-10.337936878204346,0.9084494709968567,C,-0.906933654201824
Deion Jones,MLB,Darren Sproles,RB,ANGLE,4.202461242675781,0.8202239871025085,C,0.18657005097934398
Desmond Trufant,CB,Mike Wallace,WR,,44.60522383451462,0.15729744732379913,I,-1.16918113097404
Duke Riley,OLB,Dallas Goedert,TE,GO,7.878240942955017,0.2399958372116089,I,0.19698013836077802
De'Vondre Campbell,OLB,Zach Ertz,TE,HITCH,-4.384195804595947,0.8450080752372742,C,0.0996074301692724
Ronald Darby,CB,Julio Jones,WR,OUT,4.756850004196167,0.7774485349655151,C,-1.70373128238873
Nate Gerry,LB,Mohamed Sanu,WR,HITCH,-0.19058585166931152,0.865655779838562,C,-1.6519607778454302
Sidney Jones,CB,Mohamed Sanu,WR,GO,-19.508039951324463,0.6017648577690125,I,0.432497508499145
Vic Beasley,OLB,Nick Foles,QB,,47.126394510269165,0.3042517900466919,I,0.23446085463967398
Deion Jones,MLB,Nelson Agholor,WR,CROSS,8.949291706085205,0.8124632239341736,C,-1.29905041710943
Desmond Trufant,CB,Nelson Agholor,WR,,-3.2663285732269287,0.6995118856430054,C,-0.16959823354720302
Desmond Trufant,CB,Zach Ertz,TE,FLAT,-0.28879642486572266,0.953403890132904,C,0.0155456458690786
De'Vondre Campbell,OLB,Darren Sproles,RB,FLAT,-1.2202739715576172,0.9355189800262451,I,0.436015926807866
De'Vondre Campbell,OLB,Zach Ertz,TE,OUT,3.9628028869628906,0.8423803448677063,I,0.782217050717583
Jalen Mills,CB,Julio Jones,WR,OUT,-3.9735257625579834,0.6007487177848816,C,-0.5542174453635229
Rodney McLeod,FS,Calvin Ridley,WR,POST,34.83334183692932,0.1635473370552063,I,0.20317510136477201
Malcolm Jenkins,SS,Devonta Freeman,RB,ANGLE,0.5232453346252441,0.9266309142112732,C,0.165496721394546
Ronald Darby,CB,Julio Jones,WR,IN,56.020091474056244,0.18167926371097565,I,0.55929349211824
Keanu Neal,FS,Mike Wallace,WR,POST,28.735685348510742,0.2580189108848572,I,0.13965933916381
Desmond Trufant,CB,Mike Wallace,WR,GO,0.39957910776138306,0.06934804469347,I,0.231390505107339
Deion Jones,MLB,Darren Sproles,RB,FLAT,-1.0753273963928223,0.9487442374229431,C,0.30333148326368203
Deion Jones,MLB,Zach Ertz,TE,HITCH,-1.4577865600585938,0.892758309841156,C,-0.00876483768401304
Brian Poole,CB,Zach Ertz,TE,,59.726858139038086,0.3117449879646301,I,-0.309866120219493
Robert Alford,CB,Nelson Agholor,WR,CROSS,23.011618852615356,0.2551012933254242,I,0.9102247387295441
Brian Poole,CB,Nelson Agholor,WR,FLAT,0.1828610897064209,0.9530171155929565,C,1.7634443306070102
Ronald Darby,CB,Julio Jones,WR,HITCH,-0.6420731544494629,0.9002639055252075,C,-0.808959285439665
Jalen Mills,CB,Julio Jones,WR,GO,-6.628403067588806,0.31115978956222534,I,0.5397913627950389
Jordan Hicks,MLB,Matt Ryan,QB,,15.164771676063538,0.4598716199398041,I,1.86812193376052
Jordan Hicks,MLB,Julio Jones,WR,CROSS,-2.0336389541625977,0.9024438261985779,C,1.13773379448097
Ricardo Allen,SS,Dallas Goedert,TE,FLAT,0.14249086380004883,0.9687683582305908,C,0.266957942570515
Duke Riley,OLB,Zach Ertz,TE,CROSS,-1.1813044548034668,0.8907191753387451,C,0.559747424888697
Deion Jones,MLB,Nelson Agholor,WR,HITCH,42.15492010116577,0.46640169620513916,I,0.44835548865568603
Vic Beasley,OLB,Nick Foles,QB,,-1.0123252868652344,0.8817459344863892,C,-1.9249853932340601
De'Vondre Campbell,OLB,Zach Ertz,TE,HITCH,1.696997880935669,0.79761803150177,I,0.248842215430695
Ricardo Allen,SS,Zach Ertz,TE,IN,-9.590542316436768,0.8847876787185669,C,-1.90215049280166
Kamu Grugier-Hill,OLB,Austin Hooper,TE,CROSS,-3.242826461791992,0.9022047519683838,C,-0.0835350065622122
Ronald Darby,CB,Julio Jones,WR,OUT,36.26500070095062,0.1672443449497223,I,1.7454421586849498
Brian Poole,CB,Zach Ertz,TE,CROSS,0.5925178527832031,0.9010759592056274,I,0.9077189037684309
Desmond Trufant,CB,Zach Ertz,TE,HITCH,-0.048923492431640625,0.8773542642593384,I,1.5350309156175
Ronald Darby,CB,Julio Jones,WR,GO,-0.03435746766626835,0.006127716042101383,I,0.9235134657308841
Rodney McLeod,FS,Eric Saubert,TE,HITCH,2.575194835662842,0.846562385559082,I,1.6675471232178998
Nate Gerry,LB,Matt Ryan,QB,,1.8047213554382324,0.6440169215202332,I,0.302429394568295
Jordan Hicks,MLB,Mohamed Sanu,WR,HITCH,-6.145256757736206,0.9393213987350464,C,0.205349187153297
Rasul Douglas,CB,Julio Jones,WR,CORNER,-2.0141005516052246,0.10143126547336578,IN,2.9975886107905203
Damontae Kazee,SS,Dallas Goedert,TE,POST,0.4453122615814209,0.7431697845458984,IN,5.38754045439559
Jalen Mills,CB,Julio Jones,WR,OUT,-6.922405958175659,0.8812030553817749,C,-1.16093637668398
Deion Jones,MLB,Nelson Agholor,WR,,1.2330889701843262,0.9097110033035278,C,0.6947432409726889
Ricardo Allen,SS,Zach Ertz,TE,POST,-11.61494255065918,0.686134397983551,I,1.45191444274483
Sidney Jones,CB,Mohamed Sanu,WR,SCREEN,7.152235507965088,0.9089628458023071,C,0.8962501183637801
Rodney McLeod,FS,Devonta Freeman,RB,FLAT,-8.504825830459595,0.9218035936355591,C,0.343923961780219
Desmond Trufant,CB,Nelson Agholor,WR,OUT,-0.451815128326416,0.885837733745575,C,0.28020006700326
Robert Alford,CB,Mike Wallace,WR,GO,5.645748972892761,0.34524232149124146,I,0.765125130944749
Vic Beasley,OLB,Darren Sproles,RB,FLAT,-5.231767892837524,0.9235488176345825,C,-1.7015654046812498
Ricardo Allen,SS,Darren Sproles,RB,FLAT,-0.11526346206665039,0.8092672824859619,C,-0.0379609813302078
Corey Graham,FS,Austin Hooper,TE,HITCH,-4.34383749961853,0.900190532207489,C,0.0684481276714521
Jalen Mills,CB,Julio Jones,WR,IN,-6.101393699645996,0.69786536693573,C,-1.9480701621695102
Jordan Hicks,MLB,Tevin Coleman,RB,SCREEN,39.19636011123657,0.5045193433761597,I,0.20460728580307502
Ronald Darby,CB,Julio Jones,WR,OUT,-2.0061850547790527,0.8088364005088806,C,-1.58734393953769
Jalen Mills,CB,Julio Jones,WR,IN,1.9577205181121826,0.8734019994735718,C,-0.315291940137645
Sidney Jones,CB,Mohamed Sanu,WR,SLANT,10.76706051826477,0.7825897336006165,C,-1.0409536581526802
Jalen Mills,CB,Calvin Ridley,WR,HITCH,9.595127403736115,0.03541375696659088,I,0.18699655018399802
Rodney McLeod,FS,Julio Jones,WR,GO,-4.636746644973755,0.646744966506958,I,0.327626220796045
Sidney Jones,CB,Mohamed Sanu,WR,HITCH,-0.9328417479991913,0.12375228852033615,I,0.6663010239677299
Sidney Jones,CB,Austin Hooper,TE,,-2.6330769062042236,0.3652389347553253,I,-1.3836550674078603
Ronald Darby,CB,Julio Jones,WR,GO,11.446934938430786,0.6091866493225098,I,4.19748486428596
Tremaine Edmunds,LB,Nick Boyle,TE,SCREEN,-0.3032088279724121,0.7683265209197998,C,-1.7411839144496102
Matt Milano,OLB,Nick Boyle,TE,HITCH,6.035715341567993,0.8013808727264404,C,-0.705227306487028
Phillip Gaines,CB,John Brown,WR,POST,-32.35403671860695,0.4358779788017273,C,-2.24994155734256
Phillip Gaines,CB,Michael Crabtree,WR,GO,6.8980395793914795,0.3872710168361664,I,0.288119917203392
Micah Hyde,SS,Mark Andrews,TE,CROSS,-1.5388190746307373,0.8753379583358765,C,-0.9010854492506241
Jordan Poyer,FS,Nick Boyle,TE,FLAT,6.106919050216675,0.780545711517334,C,0.0909053246295244
Terrell Suggs,OLB,LeSean McCoy,RB,FLAT,24.654768407344818,0.23719848692417145,I,0.926588620178361
Matt Milano,OLB,Michael Crabtree,WR,OUT,1.7789483070373535,0.9244370460510254,I,0.929627039761598
Tremaine Edmunds,LB,Willie Snead,WR,POST,-9.441894292831421,0.9410519003868103,I,1.64538103637025
Eric Weddle,FS,Jeremy Kerley,WR,HITCH,-3.0302047729492188,0.794073760509491,I,0.544934573567929
Terrell Suggs,OLB,Jeremy Kerley,WR,CROSS,-10.584485530853271,0.9540351629257202,C,0.573903441483093
Brandon Carr,CB,Kelvin Benjamin,WR,GO,0.9557470679283142,0.07016018033027649,I,1.5001861958336598
Phillip Gaines,CB,Michael Crabtree,WR,POST,2.8565943241119385,0.856469452381134,I,0.91491830472238
Taron Johnson,CB,Willie Snead,WR,,31.697598099708557,0.31849363446235657,I,-3.16516129451212
Jordan Poyer,FS,Willie Snead,WR,IN,0.20847320556640625,0.8004832863807678,I,0.330417205174825
Matt Milano,OLB,Mark Andrews,TE,FLAT,0.7915735244750977,0.8771687746047974,C,-0.959448505316955
Taron Johnson,CB,Willie Snead,WR,HITCH,38.716188073158264,0.23513361811637878,C,0.17057964556398097
Phillip Gaines,CB,Javorius Allen,RB,WHEEL,0.17177462577819824,0.8747372031211853,C,-1.41427055302459
Lorenzo Alexander,OLB,Maxx Williams,TE,FLAT,40.213507413864136,0.5517550706863403,C,0.0889053763778849
Jordan Poyer,FS,John Brown,WR,CROSS,59.75631773471832,0.14111992716789246,I,0.36316471969991604
Micah Hyde,SS,John Brown,WR,POST,-36.634114384651184,0.7664803862571716,C,-2.13851897199267
Lorenzo Alexander,OLB,Joe Flacco,QB,,56.94231539964676,0.16385261714458466,I,0.21652663543127998
Tre'Davious White,CB,Nick Boyle,TE,OUT,7.1676455438137054,0.046676650643348694,I,1.03610333555043
Marlon Humphrey,CB,Jeremy Kerley,WR,CROSS,-11.79618239402771,0.7985178232192993,C,0.224985591197787
Marlon Humphrey,CB,Kelvin Benjamin,WR,GO,19.720938801765442,0.4230253994464874,I,0.879524906713494
Marlon Humphrey,CB,Zay Jones,WR,HITCH,65.05259573459625,0.15187856554985046,I,1.51408263305433
Tremaine Edmunds,LB,Nick Boyle,TE,HITCH,15.855878591537476,0.6535707712173462,I,1.59951284423604
Brandon Carr,CB,Kelvin Benjamin,WR,GO,11.735674738883972,0.26238423585891724,I,0.262322669588946
Matt Milano,OLB,Javorius Allen,RB,ANGLE,11.768293380737305,0.7548397779464722,C,0.763804601499279
Matt Milano,OLB,Chris Moore,WR,ANGLE,-1.6439199447631836,0.9524577856063843,C,1.2994311404589098
Brandon Carr,CB,Kelvin Benjamin,WR,HITCH,-0.311201810836792,0.9045788049697876,C,-0.561446070508554
Tim Williams,OLB,Marcus Murphy,RB,ANGLE,-2.7044791728258133,0.05906783789396286,I,0.800027727653177
Tony Jefferson,SS,Kelvin Benjamin,WR,IN,-0.6507581099867821,0.012110450305044651,IN,3.36201794818702
Lorenzo Alexander,OLB,Javorius Allen,RB,FLAT,26.844453811645508,0.4404052495956421,I,0.25372729105207
Marlon Humphrey,CB,LeSean McCoy,RB,WHEEL,2.931433916091919,0.9283584356307983,I,0.6940906083092329
Phillip Gaines,CB,Michael Crabtree,WR,OUT,-2.752864360809326,0.918276846408844,C,-0.09336161224443
Matt Milano,OLB,Javorius Allen,RB,ANGLE,5.073153972625732,0.888065755367279,C,0.203103413970702
Rafael Bush,SS,Willie Snead,WR,HITCH,-4.952818155288696,0.9095454216003418,C,-1.24337327376875
Tremaine Edmunds,LB,Javorius Allen,RB,SCREEN,-0.2830028533935547,0.9634448289871216,C,0.573090054044265
Tre'Davious White,CB,John Brown,WR,HITCH,2.801191806793213,0.7553843259811401,C,0.0147127420872759
Matt Milano,OLB,Willie Snead,WR,HITCH,-0.8206784725189209,0.950525164604187,C,-1.08688634724163
Tremaine Edmunds,LB,Mark Andrews,TE,HITCH,-9.411615133285522,0.8660569190979004,C,-0.291497275391891
Phillip Gaines,CB,Michael Crabtree,WR,GO,6.79289698600769,0.25319576263427734,C,-3.2486000793980403
Matt Judon,OLB,Jason Croom,TE,FLAT,8.325529098510742,0.8046513199806213,C,0.115023019075452
Matt Judon,OLB,Zay Jones,WR,OUT,-21.839553117752075,0.8036253452301025,I,0.9090760382694079
Tony Jefferson,SS,Jason Croom,TE,GO,3.444543480873108,0.1692337542772293,I,1.7331372415208102
Lorenzo Alexander,OLB,Alex Collins,RB,FLAT,-0.3649711608886719,0.8995317220687866,C,-0.262465750206623
Tre'Davious White,CB,Nick Boyle,TE,,-7.98298716545105,0.9400727152824402,C,0.685255990702248
Rafael Bush,SS,Willie Snead,WR,SLANT,0.7791519165039062,0.8726563453674316,C,-2.05306436563463
