name,position,n_throws,inc_rate,int_rate,epa,eir,irae,ipa,raw_score,overall_score
Darius Slay,CB,86.0,2,10,15,5,15,15,62,100.0
Jalen Ramsey,CB,99.0,7,7,10,13,20,19,76,96.75
Stephon Gilmore,CB,84.0,1,40,1,3,23,13,81,95.59
Marlon Humphrey,CB,72.0,4,34,3,2,41,4,88,93.97
Tre'Davious White,CB,62.0,10,28,19,27,12,7,103,90.49
Kyle Fuller,CB,101.0,16,4,6,7,67,8,108,89.33
Xavien Howard,CB,62.0,5,1,5,8,17,81,117,87.24
Steven Nelson,CB,105.0,11,9,34,4,58,22,138,82.37
Johnathan Joseph,CB,88.0,33,25,7,38,42,17,162,76.8
Morris Claiborne,CB,74.0,14,17,36,35,11,58,171,74.71
Denzel Ward,CB,84.0,6,66,18,30,4,49,173,74.25
Dre Kirkpatrick,CB,71.0,3,60,25,16,5,70,179,72.85
James Bradberry,CB,101.0,13,69,49,11,37,12,191,70.07
Patrick Peterson,CB,49.0,21,15,29,43,21,69,198,68.45
Orlando Scandrick,CB,90.0,12,68,41,14,31,34,200,67.98
Kareem Jackson,CB,84.0,39,22,13,60,19,48,201,67.75
William Jackson,CB,61.0,20,70,48,20,51,3,212,65.2
Tavon Young,CB,48.0,48,12,12,18,83,39,212,65.2
Prince Amukamara,CB,91.0,36,27,55,17,73,5,213,64.97
Trumaine Johnson,CB,62.0,37,3,16,42,48,72,218,63.81
Rashaan Melvin,CB,62.0,22,28,81,44,24,20,219,63.57
T.J. Carrie,CB,95.0,35,30,33,39,43,40,220,63.34
B.W. Webb,CB,73.0,23,35,62,12,64,24,220,63.34
Terrance Mitchell,CB,52.0,9,50,39,65,1,59,223,62.65
Tramon Williams,CB,49.0,29,15,24,66,9,82,225,62.18
Jason McCourty,CB,80.0,42,38,22,21,76,28,227,61.72
Byron Jones,CB,71.0,19,70,38,1,88,11,227,61.72
Brandon Carr,CB,79.0,15,37,57,9,50,65,233,60.32
Ahkello Witherspoon,CB,71.0,8,70,65,47,3,41,234,60.09
Chris Harris,CB,61.0,65,8,20,64,52,27,236,59.63
Janoris Jenkins,CB,90.0,44,11,44,41,61,44,245,57.54
Nickell Robey-Coleman,CB,49.0,29,45,47,76,2,46,245,57.54
Joe Haden,CB,93.0,25,44,21,24,57,77,248,56.84
Casey Hayward,CB,60.0,17,70,77,6,69,10,249,56.61
Mike Hilton,CB,64.0,52,57,2,62,32,45,250,56.38
Desmond Trufant,CB,90.0,44,42,40,59,27,42,254,55.45
Jaire Alexander,CB,82.0,50,39,61,22,82,1,255,55.22
Carlton Davis,CB,63.0,26,70,70,26,54,14,260,54.06
Eli Apple,CB,104.0,27,70,71,19,68,6,261,53.83
Pierre Desir,CB,61.0,34,54,45,58,13,63,267,52.44
Nevin Lawson,CB,76.0,31,70,73,50,30,16,270,51.74
Adoree' Jackson,CB,100.0,51,47,50,25,81,18,272,51.28
Malcolm Butler,CB,82.0,55,19,43,28,79,56,280,49.42
Darryl Roberts,CB,53.0,49,51,32,68,18,62,280,49.42
Coty Sensabaugh,CB,54.0,24,70,53,29,40,66,282,48.96
Josh Norman,CB,72.0,54,12,66,49,66,36,283,48.72
Michael Davis,CB,61.0,41,70,52,51,39,30,283,48.72
Fabian Moreau,CB,80.0,28,70,79,52,26,31,286,48.03
Ronald Darby,CB,66.0,57,70,27,57,45,32,288,47.56
Gareon Conley,CB,50.0,47,5,75,31,70,61,289,47.33
Chidobe Awuzie,CB,84.0,39,40,82,10,84,38,293,46.4
Shaquill Griffin,CB,69.0,53,33,69,56,36,50,297,45.48
Logan Ryan,CB,61.0,58,54,35,71,29,54,301,44.55
D.J. Hayden,CB,53.0,80,18,9,81,34,79,301,44.55
Damarious Randall,CB,46.0,59,2,51,67,33,89,301,44.55
Jalen Mills,CB,46.0,38,70,89,23,72,9,301,44.55
Jonathan Jones,CB,73.0,69,14,54,75,35,55,302,44.32
Anthony Brown,CB,59.0,82,26,67,34,91,2,302,44.32
Xavier Rhodes,CB,66.0,43,59,58,48,53,43,304,43.85
Kenny Moore,CB,98.0,81,31,14,87,10,83,306,43.39
Marcus Peters,CB,68.0,70,6,74,37,86,35,308,42.92
Tre Flowers,CB,63.0,32,56,83,40,38,60,309,42.69
Richard Sherman,CB,48.0,18,70,68,55,7,91,309,42.69
Kendall Fuller,CB,106.0,76,51,37,70,56,21,311,42.23
Taron Johnson,CB,50.0,75,47,8,79,28,75,312,42.0
Justin Coleman,CB,84.0,77,66,28,86,8,57,322,39.68
Captain Munnerlyn,CB,77.0,72,63,17,80,22,76,330,37.82
A.J. Bouye,CB,64.0,66,57,31,54,71,51,330,37.82
Quandre Diggs,CB,55.0,79,20,60,69,65,37,330,37.82
Mackensie Alexander,CB,66.0,72,70,11,84,6,88,331,37.59
P.J. Williams,CB,82.0,71,64,26,63,63,47,334,36.89
Desmond King,CB,84.0,89,22,4,90,44,86,335,36.66
Sidney Jones,CB,54.0,68,70,30,77,25,74,344,34.57
Josh Jackson,CB,67.0,60,70,85,61,47,29,352,32.71
Bradley Roby,CB,76.0,61,62,88,36,80,26,353,32.48
Robert Alford,CB,78.0,67,70,91,15,90,23,356,31.79
Briean Boddy-Calhoun,CB,57.0,88,24,23,88,49,87,359,31.09
Bryce Callahan,CB,55.0,86,20,46,83,60,64,359,31.09
Brian Poole,CB,76.0,85,36,64,91,14,73,363,30.16
Marshon Lattimore,CB,82.0,55,64,86,32,75,52,364,29.93
Bobby McCain,CB,71.0,62,60,84,78,16,67,367,29.23
Jimmy Smith,CB,58.0,64,53,63,45,77,68,370,28.54
Rasul Douglas,CB,66.0,72,32,59,73,46,90,372,28.07
Brent Grimes,CB,50.0,63,70,90,33,85,33,374,27.61
Shareece Wright,CB,45.0,44,70,78,46,55,85,378,26.68
Buster Skrine,CB,74.0,78,70,76,72,59,25,380,26.22
Trae Waynes,CB,46.0,84,43,72,53,89,53,394,22.97
Bene' Benwikere,CB,51.0,83,49,42,74,74,78,400,21.58
Darqueze Dennard,CB,71.0,87,70,56,85,62,71,431,14.39
K'Waun Williams,CB,49.0,91,45,87,89,78,80,470,5.34
M.J. Stewart,CB,47.0,90,70,80,82,87,84,493,0.0
