name,position,n_throws,inc_rate,int_rate,epa,eir,irae,ipa,raw_score,overall_score
Darius Slay,CB,86.0,56.98,4.65,0.1,51.47,5.5,11.52,62,100.0
Jalen Ramsey,CB,99.0,52.53,5.05,0.13,47.94,4.59,10.81,76,96.75
Stephon Gilmore,CB,84.0,57.14,2.38,0.3,52.87,4.28,11.89,81,95.59
Marlon Humphrey,CB,72.0,55.56,2.78,0.26,54.22,1.34,13.6,88,93.97
Tre'Davious White,CB,62.0,51.61,3.23,0.07,45.63,5.99,12.55,103,90.49
Kyle Fuller,CB,101.0,48.51,7.92,0.19,50.31,-1.8,12.17,108,89.33
Xavien Howard,CB,62.0,54.84,11.29,0.21,49.49,5.35,4.11,117,87.24
Steven Nelson,CB,105.0,51.43,4.76,-0.09,51.86,-0.43,10.57,138,82.37
Johnathan Joseph,CB,88.0,44.32,3.41,0.14,42.99,1.33,11.3,162,76.8
Morris Claiborne,CB,74.0,50.0,4.05,-0.1,43.51,6.49,6.49,171,74.71
Denzel Ward,CB,84.0,53.57,1.19,0.07,44.67,8.91,7.18,173,74.25
Dre Kirkpatrick,CB,71.0,56.34,1.41,-0.02,47.74,8.59,5.35,179,72.85
James Bradberry,CB,101.0,50.5,0.99,-0.16,48.4,2.09,11.91,191,70.07
Patrick Peterson,CB,49.0,46.94,4.08,-0.05,42.55,4.39,5.65,198,68.45
Orlando Scandrick,CB,90.0,51.11,1.11,-0.13,47.93,3.18,8.94,200,67.98
Kareem Jackson,CB,84.0,42.86,3.57,0.11,38.01,4.85,7.34,201,67.75
William Jackson,CB,61.0,47.54,0.0,-0.16,47.03,0.51,13.76,212,65.2
Tavon Young,CB,48.0,41.67,4.17,0.11,47.22,-5.55,8.05,212,65.2
Prince Amukamara,CB,91.0,43.96,3.3,-0.2,47.57,-3.61,13.29,213,64.97
Trumaine Johnson,CB,62.0,43.55,8.06,0.09,42.7,0.85,5.07,218,63.81
Rashaan Melvin,CB,62.0,46.77,3.23,-0.37,42.54,4.24,10.71,219,63.57
T.J. Carrie,CB,95.0,44.21,3.16,-0.09,42.98,1.23,8.0,220,63.34
B.W. Webb,CB,73.0,46.58,2.74,-0.24,48.28,-1.7,10.16,220,63.34
Terrance Mitchell,CB,52.0,51.92,1.92,-0.13,37.02,14.9,6.41,223,62.65
Tramon Williams,CB,49.0,44.9,4.08,-0.02,36.78,8.12,3.64,225,62.18
Jason McCourty,CB,80.0,42.5,2.5,0.0,46.98,-4.48,9.86,227,61.72
Byron Jones,CB,71.0,47.89,0.0,-0.11,55.55,-7.66,11.94,227,61.72
Brandon Carr,CB,79.0,49.37,2.53,-0.2,48.79,0.57,6.04,233,60.32
Ahkello Witherspoon,CB,71.0,52.11,0.0,-0.26,42.19,9.93,7.89,234,60.09
Chris Harris,CB,61.0,37.7,4.92,0.07,37.37,0.33,9.87,236,59.63
Janoris Jenkins,CB,90.0,42.22,4.44,-0.14,42.79,-0.57,7.58,245,57.54
Nickell Robey-Coleman,CB,49.0,44.9,2.04,-0.15,34.75,10.15,7.37,245,57.54
Joe Haden,CB,93.0,46.24,2.15,0.01,46.5,-0.27,4.68,248,56.84
Casey Hayward,CB,60.0,48.33,0.0,-0.33,50.48,-2.15,11.96,249,56.61
