name,position,n_throws,inc_rate,int_rate,epa,eir,irae,ipa,raw_score,overall_score
Joe Schobert,MLB,39.0,1,6,4,1,1,3,16,100.0
Von Miller,OLB,39.0,4,7,1,5,10,26,53,91.53
Matt Milano,OLB,49.0,3,2,9,9,4,37,64,89.02
Benardrick McKinney,ILB,51.0,2,34,5,2,32,2,77,86.04
A.J. Klein,OLB,31.0,5,21,21,20,6,7,80,85.35
Myles Jack,OLB,55.0,9,3,2,17,12,39,82,84.9
Todd Davis,ILB,59.0,14,13,22,27,20,1,97,81.46
Leonard Floyd,OLB,41.0,13,9,25,3,39,19,108,78.95
Lorenzo Alexander,OLB,59.0,22,14,8,10,45,13,112,78.03
Cory Littleton,ILB,86.0,18,10,7,6,46,25,112,78.03
Bobby Wagner,MLB,78.0,12,11,11,22,16,42,114,77.57
Patrick Onwuasor,ILB,34.0,16,24,14,11,36,18,119,76.43
Deion Jones,MLB,31.0,15,20,10,56,5,14,120,76.2
Jayon Brown,ILB,52.0,8,35,16,36,3,33,131,73.68
Terrell Suggs,OLB,31.0,6,53,3,4,15,56,137,72.31
Darron Lee,ILB,60.0,17,8,13,50,8,47,143,70.94
Eric Kendricks,MLB,71.0,23,27,39,12,42,5,148,69.79
Alex Anzalone,OLB,38.0,20,4,6,29,23,70,152,68.88
Alec Ogletree,LB,60.0,27,16,45,15,56,6,165,65.9
Mark Barron,ILB,36.0,10,28,17,52,2,57,166,65.68
Vince Williams,ILB,48.0,29,33,26,16,58,9,171,64.53
Matt Judon,OLB,31.0,26,51,15,8,62,11,173,64.07
Fred Warner,LB,84.0,7,76,36,14,14,31,178,62.93
Kiko Alonso,OLB,85.0,21,12,38,57,9,45,182,62.01
Tremaine Edmunds,LB,94.0,32,22,20,55,19,35,183,61.78
Roquan Smith,LB,89.0,36,31,43,41,27,8,186,61.1
Danny Trevathan,ILB,67.0,38,23,56,40,31,22,210,55.61
Blake Martinez,ILB,58.0,11,68,34,19,17,68,217,54.0
Preston Smith,OLB,30.0,61,15,12,18,81,43,230,51.03
