name,position,n_throws,inc_rate,int_rate,epa,eir,irae,ipa,raw_score,overall_score
Joe Schobert,MLB,39.0,58.97,5.13,0.26,43.27,15.7,8.73,16,100.0
Von Miller,OLB,39.0,43.59,5.13,0.41,34.25,9.34,4.52,53,91.53
Matt Milano,OLB,49.0,44.9,6.12,0.18,33.12,11.78,3.6,64,89.02
Benardrick McKinney,ILB,51.0,45.1,1.96,0.25,42.22,2.88,9.92,77,86.04
A.J. Klein,OLB,31.0,41.94,3.23,0.08,31.15,10.79,7.3,80,85.35
Myles Jack,OLB,55.0,40.0,5.45,0.27,31.58,8.42,3.52,82,84.9
Todd Davis,ILB,59.0,35.59,3.39,0.08,29.5,6.09,11.21,97,81.46
Leonard Floyd,OLB,41.0,36.59,4.88,0.07,35.02,1.56,5.18,108,78.95
Lorenzo Alexander,OLB,59.0,33.9,3.39,0.18,33.1,0.8,5.95,112,78.03
Cory Littleton,ILB,86.0,34.88,4.65,0.21,34.2,0.68,4.65,112,78.03
Bobby Wagner,MLB,78.0,37.18,3.85,0.14,30.44,6.74,3.48,114,77.57
Patrick Onwuasor,ILB,34.0,35.29,2.94,0.13,32.85,2.44,5.23,119,76.43
Deion Jones,MLB,31.0,35.48,3.23,0.14,24.54,10.95,5.91,120,76.2
Jayon Brown,ILB,52.0,40.38,1.92,0.12,27.47,12.92,3.98,131,73.68
Terrell Suggs,OLB,31.0,41.94,0.0,0.26,34.59,7.35,2.29,137,72.31
Darron Lee,ILB,60.0,35.0,5.0,0.13,25.12,9.88,2.97,143,70.94
Eric Kendricks,MLB,71.0,33.8,2.82,-0.08,32.59,1.21,8.25,148,69.79
Alex Anzalone,OLB,38.0,34.21,5.26,0.23,29.03,5.18,0.81,152,68.88
Alec Ogletree,LB,60.0,31.67,3.33,-0.12,31.99,-0.32,7.39,165,65.9
Mark Barron,ILB,36.0,38.89,2.78,0.12,24.9,13.99,2.11,166,65.68
Vince Williams,ILB,48.0,31.25,2.08,0.04,31.74,-0.49,6.93,171,64.53
Matt Judon,OLB,31.0,32.26,0.0,0.12,33.64,-1.38,6.19,173,64.07
Fred Warner,LB,84.0,40.48,0.0,-0.05,32.41,8.07,4.22,178,62.93
Kiko Alonso,OLB,85.0,34.12,3.53,-0.07,24.45,9.67,3.25,182,62.01
Tremaine Edmunds,LB,94.0,30.85,3.19,0.09,24.68,6.17,3.74,183,61.78
Roquan Smith,LB,89.0,30.34,2.25,-0.1,26.8,3.54,7.0,186,61.1
Danny Trevathan,ILB,67.0,29.85,2.99,-0.17,26.96,2.89,4.87,210,55.61
Blake Martinez,ILB,58.0,37.93,0.0,-0.03,31.32,6.61,0.87,217,54.0
Preston Smith,OLB,30.0,23.33,3.33,0.14,31.46,-8.12,3.43,230,51.03
Reuben Foster,OLB,30.0,33.33,0.0,-0.29,22.6,10.73,5.61,241,48.51
Jordan Evans,OLB,35.0,34.29,2.86,-0.4,25.12,9.16,1.97,244,47.83
